Row #,CocState,CoC,HudNum,Status,Year,Organization Name,HMIS Org ID,Project Name,HMIS Project ID,HIC Date,Project Type,Bed Type,Geocode,HMIS Participating,Inventory Type,Inventory Start Date,Target Population,mcKinneyVentoEsgEs,mcKinneyVentoEsgRrh,mcKinneyVentoEsgCov,mcKinneyVentoEsgRUSH,mcKinneyVentoCocSh,mcKinneyVentoCocTh,mcKinneyVentoCocPsh,mcKinneyVentoCocRrh,mcKinneyVentoCocSro,mcKinneyVentoCocThRrh,mcKinneyVentoSpC,mcKinneyVentoS8,mcKinneyVentoShp,mcKinneyVentoYhdp,mcKinneyVentoYhdpRenewals,mcKinneyVentoUnshelt,mcKinneyVentoRural,federalFundingVash,federalFundingSsvf,federalFundingGpdBh,federalFundingGpdLd,federalFundingGpdHh,federalFundingGpdCt,federalFundingGpdSith,federalFundingGpdTp,federalFundingHchvCrs,federalFundingHchvSh,federalFundingBcp,federalFundingMgh,federalFundingTlp,federalFundingRhyDp,federalFundingHopwaHmv,federalFundingHopwaPh,federalFundingHopwaStsf,federalFundingHopwaTh,federalFundingHopwaCovid,federalFundingPih,federalFundingIndianEhv,federalFundingHome,federalFundingHomeArp,federalFundingOther,federalFundingOtherSpecify,Housing Type,Victim Service Provider,address1,address2,city,state,zip,Beds HH w/ Children,Units HH w/ Children,Veteran Beds HH w/ Children,Youth Beds HH w/ Children,CH Beds HH w/ Children,Beds HH w/o Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,CH Beds HH w/o Children,Beds HH w/ only Children,CH Beds HH w only Children,Year-Round Beds,Total Seasonal Beds,Availability Start Date,Availability End Date,O/V Beds,Pit Count,Total Beds,Updated On,notes,projectNotes,sandyRelated,sandyRelatedNote,HOPWAMedAssistedLivingFac
1,AK,Anchorage CoC,AK-500,Submitted,2024,Salvation Army Alaska Division,438,Salvation Army Anchorage - BHAP ESG-CV McKinnell House ES,21,1/29/2024,ES,F,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AHFC BHAP,SB-S,0,1712 A Street,,Anchorage,AK,99501,62,16,0,0,0,6,0,0,0,0,0,68,0,,,0,35,68,4/24/2024,,,No,,2
5,AK,Anchorage CoC,AK-500,Submitted,2024,Covenant House Alaska,114,Covenant House Alaska - CoC RHY Rights of Passage TH,115,1/29/2024,TH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,750 W 5th Avenue,Youth Engagement Center,Anchorage,AK,99501,0,0,0,0,0,25,0,25,0,0,0,25,0,,,0,21,25,4/10/2024,,,No,,2
6,AK,Anchorage CoC,AK-500,Submitted,2024,Covenant House Alaska,114,Covenant House Alaska - RHY-MGH Passage House TH,152,1/29/2024,TH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,6308 Regent Drive,Youth Engagement Center,Anchorage,AK,99501,10,5,0,10,0,0,0,0,0,0,0,10,0,,,0,6,10,4/10/2024,,,No,,2
7,AK,Anchorage CoC,AK-500,Submitted,2024,Covenant House Alaska,114,Covenant House Alaska - Youth Engagement Center ES,153,1/29/2024,ES,F,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,0,755 A Street,Youth Engagement Center,Anchorage,AK,99501,0,0,0,0,0,40,0,40,0,0,0,40,0,,,0,41,40,7/12/2024,,,No,,2
11,AK,Anchorage CoC,AK-500,Submitted,2024,Rural Alaska Community Action Program,111,Rural Alaska Community Action Program - Karluk Manor PSH,237,1/29/2024,PSH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SHFC SNHG,SB-S,0,1104 E 5th Avenue,,Anchorage,AK,99501,0,0,0,0,0,48,0,0,48,0,0,48,0,,,0,38,48,7/9/2024,,,No,,2
12,AK,Anchorage CoC,AK-500,Submitted,2024,Rural Alaska Community Action Program,111,Rural Alaska Community Action Program - Peterkin Housing PSH,238,1/29/2024,PSH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AHFC: SNHG,SB-S,0,3726 Peterkin,Central Office,Anchorage,AK,99501,0,0,0,0,0,9,0,0,9,0,0,9,0,,,0,9,9,7/9/2024,,,No,,2
13,AK,Anchorage CoC,AK-500,Submitted,2024,Rural Alaska Community Action Program,111,Rural Alaska Community Action Program - Davis Affordable Housing PSH,239,1/29/2024,PSH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AHFC: SNHG,SB-S,0,100 Davis Street,,Anchorage,AK,99501,0,0,0,0,0,6,0,0,2,0,0,6,0,,,0,4,6,4/10/2024,,,No,,2
14,AK,Anchorage CoC,AK-500,Submitted,2024,Rural Alaska Community Action Program,111,Rural Alaska Community Action Program - North Lane PSH,240,1/29/2024,PSH,,#020078,Yes,C,1/29/2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AHFC: SNHG,SB-S,0,400 North Lane,,Anchorage,AK,99501,0,0,0,0,0,10,0,0,10,0,0,10,0,,,0,5,10,7/9/2024,,,No,,2
15,AK,Anchorage CoC,AK-500,Submitted,2024,Abused Women's Aid in Crisis,287,Abused Women's Aid in Crisis - DV Shelter ES,288,1/29/2024,ES,F,#020078,Comparable,C,1/29/2024,DV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HAP and CDVSA funding,SB-S,1,100 West 13th Avenue,,Anchorage,AK,99501,42,14,0,0,0,14,0,0,0,0,0,56,0,,,0,54,56,4/10/2024,,,No,,2
16,AK,Anchorage CoC,AK-500,Submitted,2024,Abused Women's Aid in Crisis,287,Abused Women's Aid in Crisis - Harmony House TH,290,1/29/2024,TH,,#020078,No,C,1/29/2024,DV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SB-S,1,100 West 13th Avenue,,Anchorage,AK,99501,0,0,0,0,0,10,0,0,0,0,0,10,0,,,0,9,10,7/12/2024,,,No,,2
